size,waist,thigh,hem,outseam,model,brand
76,76.5,54.5,32.2,98.0,2001004097,SPAO
78,79.0,56.0,32.8,98.5,2001004097,SPAO
80,81.5,57.5,33.4,99.0,2001004097,SPAO
82,84.0,59.0,34.0,99.5,2001004097,SPAO
84,86.5,60.5,34.6,100.0,2001004097,SPAO
86,89.0,62.0,35.2,100.5,2001004097,SPAO
90,94.0,65.0,36.4,101.5,2001004097,SPAO
76,79.5,63.0,47.2,111.0,2001991022,SPAO
78,82.0,64.5,47.8,111.5,2001991022,SPAO
80,84.5,66.0,48.4,112.0,2001991022,SPAO
82,87.0,67.5,49.0,112.5,2001991022,SPAO
84,89.5,69.0,49.6,113.0,2001991022,SPAO
86,92.0,70.5,50.2,113.5,2001991022,SPAO
90,97.0,73.5,51.4,114.5,2001991022,SPAO
76,76.5,58.0,34.2,90.0,2001991021,SPAO
78,79.0,59.5,34.8,90.5,2001991021,SPAO
80,81.5,61.0,35.4,91.0,2001991021,SPAO
82,84.0,62.5,36.0,91.5,2001991021,SPAO
84,86.5,64.0,36.6,92.0,2001991021,SPAO
86,89.0,65.5,37.2,92.5,2001991021,SPAO
90,94.0,68.5,38.4,93.5,2001991021,SPAO
76,76.5,58.5,35.2,95.5,2001991020,SPAO
78,79.0,60.0,35.8,96.0,2001991020,SPAO
80,81.5,61.5,36.4,96.5,2001991020,SPAO
82,84.0,63.0,37.0,97.0,2001991020,SPAO
84,86.5,64.5,37.6,97.5,2001991020,SPAO
86,89.0,66.0,38.2,98.0,2001991020,SPAO
90,94.0,69.0,39.4,99.0,2001991020,SPAO
76,78.5,61.5,41.2,102.5,1912875326,SPAO
78,81.0,63.0,41.8,103.0,1912875326,SPAO
80,83.5,64.5,42.4,103.5,1912875326,SPAO
82,86.0,66.0,43.0,104.0,1912875326,SPAO
84,88.5,67.5,43.6,104.5,1912875326,SPAO
86,91.0,69.0,44.2,105.0,1912875326,SPAO
90,96.0,72.0,45.4,106.0,1912875326,SPAO
74,73,56,33.6,101.5,1709356589,SPAO
76,75.5,57.5,34.2,102,1709356589,SPAO
78,78,59,34.8,102.5,1709356589,SPAO
80,80.5,60.5,35.5,103,1709356589,SPAO
82,83,62,36,103.5,1709356589,SPAO
84,85.5,63.5,36.6,104,1709356589,SPAO
86,88,65,37.2,104.5,1709356589,SPAO
88,90.5,66.5,37.8,105,1709356589,SPAO
90,93,68,38.4,105.5,1709356589,SPAO
74,75,52,30.6,97,1802550988,SPAO
76,77.5,53.5,31.2,97.5,1802550988,SPAO
78,80,55,31.8,98,1802550988,SPAO
80,82.5,56.5,32.4,98.5,1802550988,SPAO
82,85,58,33,99,1802550988,SPAO
84,87.5,59.5,33.6,99.5,1802550988,SPAO
86,90,61,34.2,100,1802550988,SPAO
88,92.5,62.5,34.8,100.5,1802550988,SPAO
74,75,55,28.2,99,1803607189,SPAO
76,77.5,56.5,29.4,99.5,1803607189,SPAO
78,80,58,30.6,100,1803607189,SPAO
80,82.5,59.5,31.8,100.5,1803607189,SPAO
82,85,61,33,101,1803607189,SPAO
84,87.5,62.5,34.2,101.5,1803607189,SPAO
86,90,64,35.4,102,1803607189,SPAO
88,92.5,65.5,36.6,102.5,1803607189,SPAO
90,95,67,37.8,103,1803607189,SPAO
74,75,57,30.6,95,1805714441,SPAO
76,77.5,58.5,31.2,95.5,1805714441,SPAO
78,80,60,31.8,96,1805714441,SPAO
80,82.5,61.5,32.4,96.5,1805714441,SPAO
82,85,63,33.0,97,1805714441,SPAO
84,87.5,64.5,33.6,97.5,1805714441,SPAO
86,90,66,34.2,98,1805714441,SPAO
88,92.5,67.5,34.8,98.5,1805714441,SPAO
90,95,69,35.4,99,1805714441,SPAO
74,75,53,32.6,102,1805751014,SPAO
76,77.5,54.5,33.2,102.5,1805751014,SPAO
78,80,56,33.8,103,1805751014,SPAO
80,82.5,57.5,34.4,103.5,1805751014,SPAO
82,85,59,35,104,1805751014,SPAO
84,87.5,60.5,35.6,104.5,1805751014,SPAO
86,90,62,36.2,105,1805751014,SPAO
88,92.5,63.5,36.8,105.5,1805751014,SPAO
90,95,65,37.4,106,1805751014,SPAO